   lon        lat        precip
  -66.6500   -37.4500     0.0000
  -66.5500   -37.4500     0.0000
  -66.4500   -37.4500     0.0000
  -66.3500   -37.4500     0.0000
  -66.2500   -37.4500     0.0000
  -66.1500   -37.4500     0.0000
  -66.0500   -37.4500     0.0000
  -65.9500   -37.4500     0.0000
  -65.8500   -37.4500     0.0000
  -65.7500   -37.4500     0.0000
  -65.6500   -37.4500     0.0000
  -65.5500   -37.4500     0.0000
  -65.4500   -37.4500     0.0000
  -65.3500   -37.4500     0.0000
  -65.2500   -37.4500     0.0000
  -65.1500   -37.4500     0.0000
  -65.0500   -37.4500     0.0000
  -64.9500   -37.4500     0.0000
  -64.8500   -37.4500     0.0000
  -64.7500   -37.4500     0.0000
  -64.6500   -37.4500     0.0000
  -64.5500   -37.4500     0.0000
  -64.4500   -37.4500     0.0000
  -64.3500   -37.4500     0.0000
  -64.2500   -37.4500     0.0000
  -64.1500   -37.4500     0.0000
  -64.0500   -37.4500     0.0000
  -63.9500   -37.4500     0.0000
